nombre,codigo
Acetato de clormadinona,51181810
Acetato de cortisona,51181753
Acetato de desmopresina,51182101
Acetato de desoxicortona,51181717
Acetato de flecainida,51121515
Acetato de fludrocortisona,51181738
Acetato de glatiramer,51201901
Acetato de gonadorelina,51181903
Acetato de goserelina,51111805
Acetato de guanabenz,51121748
Acetato de hidrocortisona,51181723
Acetato de histrelina,51181904
Acetato de megestrol,51181806
Acetato de metilprednisolona,51181728
Acetato de noretindrona,51181829
Acetato de octreotido,51182304
Acetato de pirbuterol,51161503
Acetato de prednisolona,51181730
Acetato de trenbolona,51182006
Acetato de vinilo etileno (ave o goma eva o eva o foamy),13102009
Acetato de zinc,51241303
Acetato polivinilo,13111045
Acetato potásico,51191804
Acetato sódico,51191703
Acetazolamida,51141501
Acetazolamida sódica,51141532
Acetilcisteina,51161701
Acetileno,15111506
Acetofenido de dihidroxiprogesterona + enantato de estradiol,51181838
Acetohexamida,51181502
Acetonido de fluocinolona,51181719
Acetónido de triamcinolona,51181731
Achicadores de laboratorio,41104005
Achicadores mecánicos de slickline,20122329
"Achicoria, frescos o congelados",50101547
Aciclovir,51102301
Aciclovir sódico,51102335
Acidificante aseguradores de árboles,20121016
Acidificante cajas de distribución,20121010
Acidificante eslabones giratorios,20121014
Acidificante hierros de tratamiento,20121015
Acidificante inyector de bolas,20121006
Acidificante juntas rectas,20121013
Acidificante sensores de presión,20121011
Acidificante tubería de proceso,20121012
"Acidificante, cajas para las caídas de gotas",20121008
"Acidificante, contador o medidor de flujo",20121009
"Acidificante, equipo para líquido a granel",20121007
"Acidificante, sensores de densidad",20121002
"Acidificante, tubería o canalización de aire",20121005
"Acidificante, unidades de bombear",20121003
"Acidificante, unidades de mezclar",20121001
Ácido acetilsalicílico,51142002
Ácido acetohidroxámico,51102212
Ácido acrílico de etileno,13111033
Ácido aminocaproico,51131808
Ácido ascórbico,12162201
Ácido azelaico,51241202
Ácido bórico,51241204
Ácido dehidrocólico,51171609
Ácido desoxirribonucleico complementario (ADNC) prefabricado,41106309
Ácido etacrínico,51191514
Acido Fítico,51141636
Ácido fólico,51131517
Ácido fólinico (folinato cálcico),51131518
Ácido fusídico,51241122
Ácido ibandrónico (ibandronato),51182421
Ácido iopanoico,51212310
Ácido láctico,51241228
Ácido meclofenámico,51142702
Ácido mefenámico,51142012
Ácido muriático,47131831
Ácido nalidixico,51102205
Ácido nicotinico,51191914
Ácido nordihidrguaiarético,12162208
Ácido nucleico inmovilizado en membranas de vidrio o nailon,41105701
Ácido octanoico,51101830
Ácido risedrónico,51181712
Ácido salicílico,51241201
Ácido salicílico + vaselina,51241231
Acido sulfurico,51171633
Ácido tánico,51241305
Ácido tiaprofénico,51142129
Acido Tioctico,51142158
Ácido tranexámico,51131810
Ácido undecilénico,51101824
Ácido valproico,51141531
Ácido zoledrónico,51182415
Ácidos desoxirribonucleicos (ADN) de bacteriófagos o virus,41106616
Ácidos desoxirribonucleicos (ADN) purificados,41106310
Ácidos grasos (omega),51121822
Ácidos inorgánicos,12352301
Ácidos nucleicos,12352208
Ácidos orgánicos o sus sustitutos,12352106
Ácidos ribonucleicos (ARN) purificados,41106311
Acitretina,51241234
Acolchado,24141603
Acolladores para protección contra caída,46182302
Acondicionadores de agua,47101518
Acondicionadores de línea,43222901
Acondicionadores de señal,39121020
Acondicionamiento del suelo,70131505
Acónito,51212017
Aconitum napelus,51212005
Acoplador direccional,41113703
Acopladores,32101517
Acopladores de engranaje,31163002
Acopladores de vídeo para microscopios,41111708
Acopladores del flujo,20121410
Acopladores elastomericos,31163001
Acopladores en miniatura,31163004
Acopladores fotográficos para microscopios,41111706
Acopladores metálicos,31163003
Acoplamiento automático del chasis,23153415
Acoplamiento de aire,27131612
Acoplamiento de fluido,26111907
Acoplamiento Neumático,27131613
Acoplamientos de reducción de tubería,40142321
Acoplamientos de tubería,40142315
Acoplamientos de tubo,40142610
Acoplamientos mecánicos,39121422
Acoplamientos para campo petrolero,20122702
Acordeones,60131002
Acrílico de estireno,13111048
Acrílico estireno acrilonitrilo (ASA),13102005
Acrilonitrilo de estireno (SAN),13102031
Acrivastina,51161646
Actinio ac,12141701
Activadores de valvulas,31251505
Activadores del adhesivo,31201615
Activadores eléctricos,31251501
Activadores electrónicos,31251502
Activadores hidráulicos,31251503
Activadores neumáticos,31251504
Activadores por engranajes,31251506
"Activadores rotatorios, rotoactivadores",31251507
Activadores y actuadores electromagnéticos,31251509
Activadores y actuadores fotoeléctricos,31251508
Actividad o libros de recursos para trabajar con manipuladores de matemáticas básicas,60102402
Actuaciones de danza,90131502
Actuaciones u obras teatrales,90131501
Actuadores de cabeza de pozo,20141001
Acuarios o peceras,10131702
Acueductos,30222035
Acueductos ,72151635
Acuerdos comerciales,93171501
Acuerdos comerciales bilaterales,93171604
Acuerdos de alto el fuego o supervisión de treguas,92111503
Acuerdos de garantía,84101503
Acuerdos de inversiones,84121704
Acuerdos de mercancías internacionales,93171601
Acuerdos de reducción de cargos,92101802
Acumulador de carbon de zinc,26111715
Acumulador de depósitos o bolsas,27131510
Acumuladoras de rocas,24101703
Acumuladores hidráulicos,27126102
Acumuladores hidráulicos del avión,25202701
Acumuladores neumáticos,27131509
Acumuladores neumáticos del avión,25202702
Acústica,72102506
Acústica o control de ruidos,81141803
Adalimumab,51142145
Adaptador de Batería o accesorios,26111722
Adaptador de cabeza de tubería,20141011
Adaptador de cartucho filtrante,23151821
Adaptador de música de retención de llamada,43221524
Adaptador de videocassette compacto,52161603
Adaptadores centrífugos,41103911
Adaptadores de armas de fuego,20122106
Adaptadores de catéteres endoscópicos,42295440
Adaptadores de clavijas de auriculares,52161604
Adaptadores de cubo,27112822
Adaptadores de escariador quirúrgico,42291705
Adaptadores de esterilización o conjuntos de adaptadores,42281524
Adaptadores de fotografías de tamaño reducido,45121621
Adaptadores de infrarrojos,44101718
Adaptadores de lentes de la cámara,45121618
Adaptadores de microteléfonos,43191621
Adaptadores de orificio,40141741
Adaptadores de película de radiografías odontológicas,42152011
Adaptadores de potencia de cámara,45121620
Adaptadores de retractores,42293136
Adaptadores de silenciador,25173704
Adaptadores de soporte de motor,26101806
Adaptadores de telefonía o hardware,43201552
Adaptadores de transparencia de escáner,44102203
Adaptadores de tubo,40142612
Adaptadores de útiles de taladrar pozos,20111707
Adaptadores del carburador,26101756
Adaptadores del motor de arranque,26101759
Adaptadores neumáticos,27131614
Adaptadores o abrazadoras o conectores de catéter de diálisis peritoneal,42161504
Adaptadores o accesorios para jeringas,41122003
Adaptadores o conectores de caudal de Oxígeno,42271705
Adaptadores o conectores de laboratorio o accesorio,41121815
Adaptadores o conectores de succión,42272014
Adaptadores o conectores o accesorios para soporte,23151822
Adaptadores o enlaces,41106401
Adaptadores o inversores de potencia,39121006
Adaptadores ópticos,43221803
Adaptadores para fontanería o plomería,40141719
Adaptadores para instrumentos urológicos,42142708
Adaptadores portaherramientas para tornos y pulidores odontológicos,42151814
"Adaptadores, cables o electrodos de electrocardiografía (ECG)",42181702
Adaptores o conectadores o extensiones de los equipos de alimentación enteral,42231505
Adenosina,51121501
Adenótomos,42291622
Adhesivo re - usable,31201613
Adhesivos bíblicos,60101301
Adhesivos brillantes,60101308
Adhesivos de bloques de patrones,60102705
Adhesivos de cubetas de impresión dental,42152103
Adhesivos de espuma,31201608
Adhesivos de estrella de recompensa,60101309
Adhesivos de formas,60101307
Adhesivos de fotografías,60101304
Adhesivos de láminas,31201611
Adhesivos de recompensa,60101305
Adhesivos de seguimiento bíblicos,60101201
Adhesivos de seguimiento de incentivo,60101203
"Adhesivos de tejidos, sistemas de adhesivos, aplicadores o accesorios",42295461
Adhesivos de termo impregnación,31201609
Adhesivos decorativos,60121012
Adhesivos gigantes,60101302
Adhesivos líquidos,31201616
Adhesivos o colas para el cierre de piel,42312005
Adhesivos para aparatos de ostomía,42312101
Adhesivos perfumados,60101306
Adhesivos químicos,31201601
Aditivo espesante para combustible,15111701
Aditivos ácidos,12164102
Aditivos anti lodo,12163101
Aditivos de control de hierro,12164301
Aditivos de fragancias,12164503
Aditivos de inundación de agua,12161907
Aditivos de migración anti gas,12163201
Aditivos desoldantes,23171526
Aditivos in situ,12164101
Aditivos modificadores de pérdida de fluidos,12162702
Aditivos naturales de pérdida de fluidos,12162701
Aditivos no emulsificantes,12164401
Aditivos soldantes,23171525
Administración de cultivos,70141703
Administración de recaudación tributaria,93161704
Administración o planificación de proyectos,80101604
Administración veterinaria,70122007
Administración y revisión de quejas médicas,84131608
Administradores de bases de datos o del sistema de tecnología de la información permanentes,80111713
Administradores temporales de base de datos o sistemas de tecnología de la información,80111609
Adorno para pintar o mascara,31211918
Adornos para el cabello,53131642
"Adornos, acabados para automotores",25172601
Aereador de cesped,27112021
Aerofaros de navegación de avión,25201602
Aerogeneradores,26111603
Aerógrafos,60121253
"Aeroplaneadores, aerodeslizadores",25132001
Aerosoles,12161803
Aerosoles antisalpicaduras,23171501
Aerosoles decorativos,60111411
Aerosoles para endodoncia,42151912
Aerosoles para laboratorio,41101503
Aesculus,51212004
Afiches del alfabeto,60101906
Afilador de tijeras,44121632
Afiladores de cuchillos de uso doméstico,52151624
Agarradores quirúrgicos,42293801
Agenciamiento naviero ,78141504
Agencias de detectives,92121601
Agencias de festejos,90152405
"Agencias de marketing de ventas, incluidas las impresiones",80141618
Agencias de préstamos a la pequeña empresa,84141502
Agencias de viajes,90121502
Agendas de citas y repuestos,44112005
Agentes anti – espumosos,12161901
Agentes antiresbaladizos,31211605
Agentes bloqueantes,41105329
Agentes cubrimientos odontológicos,42152456
Agentes de circulación perdida,20131003
Agentes de control asfaltina parafina cristal modificado,12162902
Agentes de control asfaltina parafina tipo dispersante,12162903
Agentes de control asfaltina parafina tipo solvente,12162901
Agentes de control de filtración,20131001
Agentes de curación que se da en el agua,12162301
Agentes de desleír el lodo,20131008
Agentes de dispersión,12161904
Agentes de enlace cruzado,12161502
Agentes de expansión de cemento,12163301
Agentes de lastrar el lodo,20131010
Agentes de mojar,12161906
Agentes de nivelación,31211606
Agentes de suspensión química,12161808
Agentes desviadores,12161506
Agentes dulcificantes artificiales,50161510
Agentes naturales de coagulación,12161805
Agentes o corredores de la propiedad inmobiliaria,80131601
Agentes sintéticos de coagulación,12161806
Agitadores basculantes,41103812
Agitadores de lodo,20122801
Agitadores de techo,41103810
Agitadores domésticos de usar y tirar,52151505
Agitadores magnéticos,41103806
Agitadores orbitales,41103811
Agitadores rotativos,41103813
Aglomerante epóxido,31201607
Agregadores de banda ancha,43222632
Agua,50202301
Agua de batería,26111727
Agua de mar,51102736
Agua de rosas,53131636
Agua destilada para irrigación,51102702
Agua fría,83101510
Agua mineral,50202310
Agua para la ciudad,83101508
Agua pesada,12142202
Aguacate,50102307
Aguilón de llamarada,20122201
Aguja de jareta,53141608
Agujas arteriales,42142503
Agujas con aberturas,42142516
Agujas de amniocentesis,42142501
Agujas de autopsia,42261508
Agujas de biopsia,42142504
Agujas de biopsia o de aspiración endoscópica,42294903
Agujas de coser,53141605
Agujas de coser a mano,60122003
Agujas de filtro,42142510
Agujas de fístula,42142512
Agujas de ganchillo,53141627
Agujas de inyección para embalsamamiento,42262007
Agujas de irrigación,42142525
Agujas de jeringa de cromatografía,41122002
Agujas de monitorización de la temperatura,42294720
Agujas de procedimiento radiológico,42142513
Agujas de sutura,42312206
Agujas de tapicería,53141614
Agujas de tejer,53141615
Agujas de toracentesis,42272401
Agujas de tratamiento diagnóstico,42142530
Agujas de tubo de vacío,42142515
Agujas despuntadas,42142506
Agujas endoscópicos de insuflación,42294917
Agujas hipodérmicas,42142523
Agujas indicadoras,45111601
Agujas mamarias de localización,42294306
Agujas mariposa,42142507
Agujas o kits de pericardiocentesis o accesorios,42142532
Agujas o sets de grabado,42142524
Agujas o sets para punción del esternón,42142528
Agujas o tela de punto de cruz,53141624
Agujas para alimentación animal,41102607
Agujas para anestesia,42142502
Agujas para cirugía oftalmológica,42294509
Agujas para extracción de sangre,42142521
Agujas para máquina de coser,23121612
Agujas quirúrgicas para otorrinolaringología,42142522
Ahumadores u hornos para ahumado de uso comercial,48101523
"Airbags, bolsas de aire ",25172101
Aire comprimido para limpieza,47131836
Aire industrial,12142105
Aires acondicionados,40101701
Aires acondicionados domésticos (incluye tecnología solar),52141510
Aisladores,32101522
Aisladores acoplados ópticos,32111705
Aisladores para disipadores de calor,32131009
Aislamiento acústico,30141601
Aislamiento de ajuste holgado,30141506
Aislamiento de espuma,30141503
Aislamiento de fibra,30141508
Aislamiento de recambio para hornos de laboratorio,41104611
Aislamiento de tabla rígida,30141507
Aislantes eléctricos,39121721
Ajedrez,49181516
"Ají dulce, frescos o congelados",50101548
"Ají picante, frescos o congelados",50101549
Ajo,51212007
"Ajo porro, frescos o congelados",50101550
"Ajos, frescos o congelados",50101551
Ajustadores del balancín,26101758
"Ajustaje de manguito, de manguera",40141734
"Alabantes, Cuñas",25111917
Alabes kelly,20122818
Alacena o bufete,56101538
Alálico,13111032
Alambre de aluminio,60124403
Alambre de aluminio revestido de cobre,26121519
Alambre de amianto de silicio,26121515
Alambre de bronce,26121521
Alambre de bronce ,60124411
Alambre de calentador o de calefacción,26121501
Alambre de cobre – acero (1% cobre),26121520
Alambre de espinas,31152002
Alambre de kaptan,26121533
Alambre de latón,60124405
Alambre de percusión galvanizado,60124412
Alambre de plata,60124407
Alambre de poliamida,26121534
Alambre de slickline,20122342
Alambre de trole,26121510
Alambre desnudo,26121522
Alambre duplex o alambre para artefactos,26121505
"Alambre eléctrico, alambre aislado o forrado",26121524
Alambre forrado pero no aislado,26121523
Alambre galvanizado ,31151505
Alambre para automoción o aviación,26121508
Alambre para grapar,31151804
Alambre para imanes,26121509
Alambre para interconexiones,26121532
Alambre para radio o televisión,26121507
Alambre soldador,23171510
"Alambre sólido, hilo de cobre",26121517
Alambre subterráneo,26121514
Alambres de guía o trampas o accesorios para toma de imágenes vasculares,42203404
Alambres limpiaagujas,42142527
Alarmas de muñeca de cama mojada para discapacitados,42211618
Alarmas de piscina,46161603
Alas de avión,25201511
Alatrofloxacina,51101553
"Albahaca, frescos o congelados",50101552
Albaricoque preservado,50194001
Albaricoque procesado,50193605
Albaricoques,50102101
Albaricoques congelados,50102801
Albendazol,51101701
"Albendazol 100 mgs/5 ml., suspensión",51101721
Álbumes de recuerdos,60105701
Álbumes de sellos postales o estampillas,44122021
Álbumes u organizadores de fotografías o imágenes,60121413
Albúmina humana,51131909
Albuminometros,41113302
Albuterol,51151701
"Alcachofas, frescos o congelados",50101553
Alcaloides,12352210
Alcaloides de la belladona,51151610
Alcanes,12352001
Alcanos cíclicos,12191504
Alcantarillas con tapas,30121605
Alcanzadoras para personas discapacitadas,42212304
Alcohól aromático de amoniaco,51142619
Alcohól de polivinilo,13111042
Alcohól de vinil de etileno ,13111067
Alcohól o licores,50202206
"Alcohól, cremas o lociones para farmacéuticas",53131616
Alcohóles carburantes gelificados,15101606
Alcohóles o sus sustitutos,12352104
Alcohóles tiol,12352105
Alcohólimetro ,46151604
Alcotana o picoleta,27111616
Aldehídos o sus sustitutos,12352114
Aldesleukina,51201507
Aleación 7178,11172001
Aleación de acero inoxidable X2CRNI19 - 11O 304L,11171602
Aleación de acero inoxidable X5CRNI18 – 10 ó 304,11171601
Aleación de acero inoxidable X5CRNIMO17 – 12 - 2 ó 316,11171603
Aleación de níquel en barra labrada,31231118
Aleación de níquel en placas labrado,31231218
Aleación ferrosa,11101712
Aleación ferrosa en barra labrada,31231115
Aleación ferrosa en placas labrado,31231215
Aleación no ferrosa,11101711
Aleación no ferrosa en barra labrada,31231114
Aleación no ferrosa en placas labrados,31231214
Aleación pymalion u 846,11172101
Aleaciones de acrílico estireno acrilonitrilo (AEA),13102006
Aleaciones de estireno butadieno acrilonitrilo (EBA),13102002
Aleaciones de fundición de la base dental de metal,42152411
Aleaciones de fundir dentales,42152414
"Aleaciones fundidas de cobalto, cromo, molibdeno para implantes dentales",42152403
Aleaciones para amalgama dental,42152401
Alemtuzumab,51111713
Alendronato sódico,51182406
Alerones de avión,25201509
Alertas de gas médico,42191705
Aletas de avión,25201502
Aletas de filtro,40161522
Aletas o chapaletas para natación,49141608
Aletas o impulsores de la aleta de avión,25201506
Alfabetos táctiles,60101911
Alfalfa,50101588
Alfarería,60121009
Alfileres de acolchado,53141629
Alfileres rectos,53141501
Alfombrado,30161701
Alfombras,52101514
Alfombras antiguas,49101605
Alfombras de algodón,52101504
Alfombras de lana,52101503
Alfombras de nudos,30161708
Alfombras de penachos,30161709
Alfombras orientales,52101501
Alfombras para exterior,30161711
Alfombras sintéticas,52101505
Alfombras trenzadas,52101506
Alfombrilla de representación gráfica,60102609
Alfombrillas de baño,52101507
Alfombrillas de cepillo de caucho,56121303
Alfombrillas de transferencia de pacientes,42192212
Alfombrillas o plataformas para rehabilitación o terapia,42251620
Algacidas,47101601
Alginato de calcio para el empaque de heridas,42312401
Álgodón,11121802
Algodón o fibra,42141501
Alibour,51102731
Alicates de articulación movible o de ranura,27112113
Alicates de chapa metálica u hoja de metal,27112122
Alicates de guardalínea o linemans,27112106
Alicates de lagartos o cocodrilo,27112111
Alicates de perforación,27111516
Alicates de presión,27112115
Alicates de punta curvada,27112128
Alicates de punta larga,27112134
Alicates de punta redonda,27112125
Alicates ortodónticos,42152713
Alicates planos,27112126
"Alicates, tenacilla de punta de aguja",27112108
Alimemazina,51161618
Alimentador mecánico,23153022
Alimentadores,20101602
Alimentadores de documentos de escáner,44102202
Alimentadores de rodillo,44101728
Alimentadores para transportadores,24101704
Alimento concentrado para ganado,10121508
Alimento en hojuelas para peces,10121703
Alimento granulado para peces,10121702
Alimento granulado para reptiles,10122001
Alimento granulado para roedores,10121901
Alimento húmedo para gatos,10121805
Alimento húmedo para perros,10121802
Alimento húmedo para reptiles,10122002
Alimento nutritivo médico o espesadores de líquido,42231806
Alimento para aves,10121604
Alimento seco para gatos,10121804
Alimento seco para perros,10121801
Alimento vivo para pájaros,10121601
Alimento vivo para reptiles,10122003
Alineación,78180402
Aliño de ensaladas o para mojar,50171832
Alisadoras de rueda rectificadora,23131515
Aliskiren,51121767
Aliskiren + hidroclorotiazida,51121768
Aliskiren + valsartan,51121769
Aljibes,30222205
Aljibes ,72151804
Alkyd,13111028
Allopurinol (alopurinol),51211501
Almacén de equipo de educación física,49211806
"Almacén, depósito de mercancías",72152303
"Almacén, depósito de mercancías ",30222703
Almacenaje de materias peligrosas,78131803
Almacenaje de mercancías embandejadas,78131601
Almacenaje de pescado,70101704
Almacenaje de pieles,91111804
Almacenaje de tubería de perforación de pozo,71121623
Almacenaje del archivo de carpetas,78131602
Almacenaje refrigerado,78131801
